viewer_name	primary_emotion	secondary_emotion
viewer_9149	love	violence	
viewer_6513	love	violence	
viewer_9121	love	violence	
viewer_600	love	happiness	
viewer_5493	love	violence	
viewer_928	love	action	
viewer_7099	love	happiness	
viewer_4402	love	action	
viewer_2310	love	happiness	
viewer_5953	love	action	
viewer_7070	love	action	
viewer_4354	love	action	
viewer_5294	love	happiness	
viewer_8498	love	violence	
viewer_8993	love	violence	
viewer_9197	love	horizons	
viewer_5536	love	action	
viewer_9516	love	action	
viewer_4735	love	violence	
viewer_5680	love	violence	
viewer_4162	love	violence	
viewer_8424	love	violence	
viewer_3486	love	violence	
viewer_6500	love	violence	
viewer_9193	love	happiness	
viewer_9069	love	happiness	
viewer_4927	love	happiness	
viewer_4751	love	violence	
viewer_2638	love	violence	
viewer_822	love	violence	
viewer_6508	love	happiness	
viewer_2438	love	violence	
viewer_6997	love	happiness	
viewer_9594	love	action	
viewer_110	love	action	
viewer_8401	love	action	
viewer_2114	love	violence	
viewer_545	love	violence	
viewer_3665	love	happiness	
viewer_4820	love	action	
viewer_7949	love	horizons	
viewer_8229	love	violence	
viewer_3583	love	action	
viewer_3777	love	violence	
viewer_2103	love	horizons	
viewer_5743	love	violence	
viewer_1510	love	action	
viewer_1630	love	violence	
viewer_4999	love	action	
viewer_4801	love	action	
viewer_7769	love	horizons	
viewer_2792	love	action	
viewer_8251	love	violence	
viewer_2124	love	action	
viewer_4679	love	action	
viewer_8879	love	horizons	
viewer_2682	love	action	
viewer_3463	love	action	
viewer_2783	love	violence	
viewer_6150	love	action	
viewer_1717	love	violence	
viewer_71	love	violence	
viewer_684	love	horizons	
viewer_5740	love	action	
viewer_4113	love	violence	
viewer_8889	love	happiness	
viewer_3547	love	happiness	
viewer_6357	love	happiness	
viewer_6093	love	violence	
viewer_2900	love	happiness	
viewer_1694	love	violence	
viewer_1277	love	violence	
viewer_6532	love	violence	
viewer_1885	love	violence	
viewer_322	love	violence	
viewer_8265	love	violence	
viewer_187	love	violence	
viewer_2760	love	action	
viewer_5309	love	violence	
viewer_92	love	happiness	
viewer_5688	love	horizons	
viewer_5023	love	action	
viewer_4865	love	violence	
viewer_2086	love	happiness	
viewer_6094	love	violence	
viewer_3714	love	action	
viewer_4418	love	violence	
viewer_4991	love	action	
viewer_3068	love	violence	
viewer_1573	love	action	
viewer_2094	love	action	
viewer_6456	love	action	
viewer_1494	love	action	
viewer_9842	love	action	
viewer_250	love	violence	
viewer_3142	love	violence	
viewer_1873	love	happiness	
viewer_7994	love	action	
viewer_7334	love	violence	
viewer_6123	love	action	
viewer_8327	love	violence	
viewer_2268	love	violence	
viewer_8540	love	violence	
viewer_5195	love	action	
viewer_18	love	violence	
viewer_3731	love	violence	
viewer_2694	love	action	
viewer_9568	love	violence	
viewer_5082	love	action	
viewer_3597	love	happiness	
viewer_7005	love	action	
viewer_2933	love	action	
viewer_6869	love	violence	
viewer_3531	love	violence	
viewer_4305	love	violence	
viewer_4284	love	violence	
viewer_8802	love	action	
viewer_5076	love	happiness	
viewer_5828	love	action	
